127.0.0.1 - - [02/Aug/2016:09:07:22 +0900] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:07:24 +0900] "GET /htmltest/day4/c20.html HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:07:34 +0900] "GET /htmltest/day4/c20.html HTTP/1.1" 200 220
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:07:35 +0900] "GET /favicon.ico HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:09:01 +0900] "GET /htmltest/day4/c20.html HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:09:10 +0900] "GET /htmltest/day4/c20.html HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:15:45 +0900] "GET /htmltest/day4/c20.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:15:49 +0900] "GET /htmltest/day4/c21.html HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:19:08 +0900] "GET /htmltest/day4/c21.html HTTP/1.1" 200 505
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:20:48 +0900] "GET /htmltest/day4/c21.html HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:21:05 +0900] "GET /htmltest/day4/c21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:21:08 +0900] "GET /htmltest/day4/c21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:21:16 +0900] "GET /htmltest/day4/c21.html HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:21:16 +0900] "GET /htmltest/day4/c21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:21:52 +0900] "GET /htmltest/day4/c21.html HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:23:47 +0900] "GET /htmltest/day4/c21.html HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:30:59 +0900] "GET /htmltest/day4/c21.html HTTP/1.1" 200 640
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:36:13 +0900] "GET /htmltest/day4/c21.html HTTP/1.1" 200 656
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:37:30 +0900] "GET /htmltest/day4/c21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:39:35 +0900] "GET /htmltest/day4/c21.html HTTP/1.1" 200 676
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:40:12 +0900] "GET /htmltest/day4/c21.html HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:40:26 +0900] "GET /htmltest/day4/c21.html HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:41:06 +0900] "GET /htmltest/day4/c21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:41:09 +0900] "GET /htmltest/day4/c21.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:41:13 +0900] "GET /htmltest/day4/c21.html HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:46:16 +0900] "GET /htmltest/day4/c22.html HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:46:35 +0900] "GET /htmltest/day4/c22.html HTTP/1.1" 200 538
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:47:21 +0900] "GET /htmltest/day4/c22.html HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:48:00 +0900] "GET /htmltest/day4/c22.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:09:48:05 +0900] "GET /htmltest/day4/c22.html HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:11:30 +0900] "GET /htmltest/day4/c23.html HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:11:30 +0900] "GET /htmltest/image/img1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:12:18 +0900] "GET /htmltest/day4/c23.html HTTP/1.1" 200 441
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:12:18 +0900] "GET /htmltest/image/img1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:12:35 +0900] "GET /htmltest/day4/c23.html HTTP/1.1" 200 683
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:12:35 +0900] "GET /htmltest/image/img1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:14:07 +0900] "GET /htmltest/day4/c23.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:14:07 +0900] "GET /htmltest/image/img1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:14:16 +0900] "GET /htmltest/day4/c23.html HTTP/1.1" 200 706
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:14:16 +0900] "GET /htmltest/image/img1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:15:17 +0900] "GET /htmltest/day4/c23.html HTTP/1.1" 200 1208
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:15:17 +0900] "GET /htmltest/image/img1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:16:00 +0900] "GET /htmltest/day4/c23.html HTTP/1.1" 200 1209
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:16:00 +0900] "GET /htmltest/image/img1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:19:06 +0900] "GET /htmltest/day4/c24.html HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:19:36 +0900] "GET /htmltest/day4/c24.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:20:09 +0900] "GET /htmltest/day4/c24.html HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:21:02 +0900] "GET /htmltest/day4/c24.html HTTP/1.1" 200 298
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:22:52 +0900] "GET /htmltest/day4/c24.html HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:35:46 +0900] "GET /htmltest/day4/homework9.html HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:35:46 +0900] "GET /htmltest/image/img2.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:35:46 +0900] "GET /htmltest/image/img3.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:35:46 +0900] "GET /htmltest/image/img5.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:35:46 +0900] "GET /htmltest/image/img6.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:35:46 +0900] "GET /htmltest/image/img4.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:36:35 +0900] "GET /htmltest/day4/homework9.html HTTP/1.1" 200 472
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:36:35 +0900] "GET /htmltest/image/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:36:35 +0900] "GET /htmltest/image/img3.jpg HTTP/1.1" 200 345181
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:36:35 +0900] "GET /htmltest/image/img1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:37:22 +0900] "GET /htmltest/day4/homework9.html HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:37:22 +0900] "GET /htmltest/image/img1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:37:22 +0900] "GET /htmltest/image/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:37:22 +0900] "GET /htmltest/image/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:37:37 +0900] "GET /htmltest/day4/homework9.html HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:37:37 +0900] "GET /htmltest/image/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:37:37 +0900] "GET /htmltest/image/img1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:37:37 +0900] "GET /htmltest/image/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:38:07 +0900] "GET /htmltest/day4/homework9.html HTTP/1.1" 200 553
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:38:07 +0900] "GET /htmltest/image/img1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:38:07 +0900] "GET /htmltest/image/img3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:38:07 +0900] "GET /htmltest/image/img2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:38:08 +0900] "GET /htmltest/day4/homework9.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:38:08 +0900] "GET /htmltest/image/img1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Aug/2016:10:38:08 +0900] "GET /htmltest/image/img3.jpg HTTP/1.1" 304 -
