127.0.0.1 - - [12/Aug/2016:09:33:25 +0900] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:33:28 +0900] "GET /jqueryTest/day12/a.html HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:33:32 +0900] "GET /jqueryTest/day12/a.html HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:33:32 +0900] "GET /favicon.ico HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:38:04 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:40:06 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:40:06 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:40:06 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:40:06 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:40:14 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 200 456
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:40:29 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:42:04 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 200 503
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:42:05 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:42:05 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:42:05 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:42:06 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:42:06 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:42:06 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:42:07 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:42:07 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:45:05 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 200 559
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:45:05 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:45:18 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:45:31 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:45:32 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:45:32 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:45:32 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:49:42 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [12/Aug/2016:09:49:42 +0900] "GET /jqueryTest/day12/b.html HTTP/1.1" 304 -
