127.0.0.1 - - [04/Aug/2016:09:08:32 +0900] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [04/Aug/2016:09:08:34 +0900] "GET /htmltest/day5/q.html HTTP/1.1" 200 386
0:0:0:0:0:0:0:1 - - [04/Aug/2016:09:08:38 +0900] "GET /htmltest/day5/q.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2016:09:08:38 +0900] "GET /favicon.ico HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [04/Aug/2016:09:13:18 +0900] "GET /htmltest/day6/s.html HTTP/1.1" 200 152
0:0:0:0:0:0:0:1 - - [04/Aug/2016:09:14:16 +0900] "GET /htmltest/day6/s.html HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [04/Aug/2016:09:15:07 +0900] "GET /htmltest/day6/s.html HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [04/Aug/2016:09:15:12 +0900] "GET /htmltest/day6/s.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2016:09:15:13 +0900] "GET /htmltest/day6/s.html HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [04/Aug/2016:09:17:38 +0900] "GET /htmltest/day6/s.html HTTP/1.1" 200 225
0:0:0:0:0:0:0:1 - - [04/Aug/2016:09:21:24 +0900] "GET /htmltest/day6/s.html HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [04/Aug/2016:09:21:37 +0900] "GET /htmltest/day6/s.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Aug/2016:09:22:03 +0900] "GET /htmltest/day6/s.html HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [04/Aug/2016:09:29:14 +0900] "GET /htmltest/day6/quiz3.html HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [04/Aug/2016:09:31:35 +0900] "GET /htmltest/day6/t.html HTTP/1.1" 200 127
0:0:0:0:0:0:0:1 - - [04/Aug/2016:09:35:34 +0900] "GET /htmltest/day6/t.html HTTP/1.1" 200 360
0:0:0:0:0:0:0:1 - - [04/Aug/2016:09:36:24 +0900] "GET /htmltest/day6/t.html HTTP/1.1" 304 -
