127.0.0.1 - - [08/Aug/2016:09:12:41 +0900] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:12:44 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:12:51 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 200 620
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:12:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1020
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:13:08 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:13:08 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:13:08 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:13:08 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:13:09 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:13:09 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:13:09 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:13:09 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:13:09 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:13:10 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:13:10 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:13:12 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:14:55 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 200 705
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:16:33 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:16:49 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 200 781
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:16:50 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:16:50 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:16:50 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:16:50 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:17:18 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 200 785
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:19:39 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:19:39 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:19:39 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:19:39 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:19:39 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:19:40 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:19:55 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:19:55 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Aug/2016:09:19:55 +0900] "GET /htmltest/day8/z12.html HTTP/1.1" 304 -
