127.0.0.1 - - [22/Aug/2016:09:17:30 +0900] "GET / HTTP/1.1" 404 998
0:0:0:0:0:0:0:1 - - [22/Aug/2016:09:17:31 +0900] "GET /company/startbootstrap-creative-gh-pages/index.html HTTP/1.1" 200 18851
0:0:0:0:0:0:0:1 - - [22/Aug/2016:09:17:31 +0900] "GET /company/startbootstrap-creative-gh-pages/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [22/Aug/2016:09:17:31 +0900] "GET /company/startbootstrap-creative-gh-pages/css/creative.min.css HTTP/1.1" 200 7873
0:0:0:0:0:0:0:1 - - [22/Aug/2016:09:17:31 +0900] "GET /company/startbootstrap-creative-gh-pages/vendor/jquery/jquery.min.js HTTP/1.1" 200 97163
0:0:0:0:0:0:0:1 - - [22/Aug/2016:09:17:31 +0900] "GET /company/startbootstrap-creative-gh-pages/vendor/magnific-popup/magnific-popup.css HTTP/1.1" 200 6951
0:0:0:0:0:0:0:1 - - [22/Aug/2016:09:17:31 +0900] "GET /company/startbootstrap-creative-gh-pages/img/portfolio/thumbnails/1.jpg HTTP/1.1" 200 63788
0:0:0:0:0:0:0:1 - - [22/Aug/2016:09:17:32 +0900] "GET /company/startbootstrap-creative-gh-pages/vendor/scrollreveal/scrollreveal.min.js HTTP/1.1" 200 8487
0:0:0:0:0:0:0:1 - - [22/Aug/2016:09:17:32 +0900] "GET /company/startbootstrap-creative-gh-pages/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [22/Aug/2016:09:17:32 +0900] "GET /company/startbootstrap-creative-gh-pages/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [22/Aug/2016:09:17:32 +0900] "GET /company/startbootstrap-creative-gh-pages/js/creative.min.js HTTP/1.1" 200 1124
0:0:0:0:0:0:0:1 - - [22/Aug/2016:09:17:32 +0900] "GET /company/startbootstrap-creative-gh-pages/vendor/magnific-popup/jquery.magnific-popup.min.js HTTP/1.1" 200 20216
